baseline,seed,total_return,mean_reward,sharpe,sortino,max_drawdown,calmar,turnover,transaction_cost,inventory_drift_mean,post_shift_mean_pnl,post_shift_cum_pnl_120,promotion_count,promotion_delay,UpperHFPower,LowerLFDrift,FocusScore,promotion_threshold,promotion_ratio,promotion_mid_gain,promotion_adapt_gain
freq_hrl,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.0,0.25
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.0,0.25
freq_hrl,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.0,0.5
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.0,0.5
freq_hrl,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.0,0.5
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.0,0.5
freq_hrl,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.0,0.5
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.0,0.5
freq_hrl,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.0,0.5
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.0,0.5
freq_hrl,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.0,0.5
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.0,0.5
freq_hrl,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.5,0.0
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.5,0.0
freq_hrl,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.5,0.0
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.5,0.0
freq_hrl,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.5,0.0
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.5,0.0
freq_hrl,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.5,0.0
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.5,0.0
freq_hrl,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.5,0.0
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.5,0.0
freq_hrl,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.5,0.1
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.5,0.1
freq_hrl,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.5,0.1
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.5,0.1
freq_hrl,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.5,0.1
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.5,0.1
freq_hrl,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.5,0.1
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.5,0.1
freq_hrl,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.5,0.1
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.5,0.1
freq_hrl,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.5,0.25
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.5,0.25
freq_hrl,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.5,0.25
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.5,0.25
freq_hrl,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.5,0.25
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.5,0.25
freq_hrl,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.5,0.25
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.5,0.25
freq_hrl,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.5,0.25
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.5,0.25
freq_hrl,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.5,0.5
no_promotion,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,0.5,0.5
freq_hrl,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.5,0.5
no_promotion,123,0.2269531253127064,0.0002842069101209338,15.22313650435749,32.575093356477716,0.011332049687141521,20.027544140600632,6.163747775123128,0.03698248665073876,1.6920354079570576e-05,0.0005049699513359292,0.060596394160311505,0,-1.0,0.0009145504922399456,1.8393758165700764,0.8781697994161438,0.0008,0.4,0.5,0.5
freq_hrl,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.5,0.5
no_promotion,456,0.2730014088396442,0.0003353941186025863,17.144452914462132,27.87855573993107,0.005547187103036588,49.21438627700161,5.858743969803112,0.035152463818818674,2.3144676289733898e-05,0.0005593859594592479,0.06712631513510975,0,-1.0,0.0005710245040201895,1.9198153764755406,0.7990405837847596,0.0008,0.4,0.5,0.5
freq_hrl,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.5,0.5
no_promotion,789,0.25765937993758525,0.00031855003555950116,17.7032626202287,42.92902820982996,0.005080187649276646,50.71847690001621,5.549912256445857,0.03329947353867514,1.1614818071209152e-05,0.0004968051301210845,0.05961661561453014,0,-1.0,0.0006778850477363695,1.7800795511179326,0.7966803268189747,0.0008,0.4,0.5,0.5
freq_hrl,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.5,0.5
no_promotion,2026,0.20279123377142816,0.0002565642353251427,13.336670102690777,22.767216066495077,0.015521456059670258,13.06521971855109,6.518252615641073,0.039109515693846436,2.6563361190610938e-05,0.00036680594156446804,0.04401671298773616,0,-1.0,0.0008615836975503704,1.9244111161887167,0.9015014046542771,0.0008,0.4,0.5,0.5
freq_hrl,42,0.25273513231897815,0.00031309340385896766,15.831431501832645,28.96760547598815,0.009290616821554631,27.20326725052547,6.037551364896018,0.03622530818937612,2.684335772496184e-05,0.0005919323460578488,0.07103188152694186,0,-1.0,0.0006541955533767754,1.9036407124288635,0.7476095129705062,0.0008,0.4,1.0,0.0
